"nombres","apellidos","numero.lista","corporacion","partido","genero","nacimiento","tiempo.congreso","La.eutanasia","El.sexo.antes.del.matrimonio","El.matrimonio.homosexual","El.divorcio","El.consumo.de.marihuana","El.aborto","Estatuto.de.la.Ciudadanía.Juvenil","Justicia.Penal.Militar..Fuero.Militar","Reforma.a.la.Justicia.Ejecutivo","Implementación.del.TLC.con.Estados.Unidos..Ley.Lleras.2.0","Ley.estatutaria.de.reforma.a.la.salud"
"Carlos Eduardo","León Celis","105","Representante a la Cámara","Conservador Colombiano","M",1970,4,"","","","","","",NA,"agree","",NA,"agree"
"Edith","León de Castañeda","52","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Raul Alberto","Leon Laverde","102","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Buenaventura","León León","102","Representante a la Cámara","Conservador Colombiano","M",1958,12,"","","","","","",NA,"agree","agree",NA,"agree"
"Juan Carlos","León Zota","103","Representante a la Cámara","Liberal Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Lindor Lexcer ","Lesmes Infante","93","Senador de la República","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alexis José","Lewis Muñoz","105","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"María de Jesús","L'Hoeste García","102","Representante a la Cámara","Polo Democrático Alternativo","",1962,0,"","","","","","",NA,NA,NA,NA,NA
"Jose Octaviano ","Liñan Murgas","102","Representante a la Cámara","Autoridades Indígenas de Colombia AICO","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nelson Emiro","Linares Zárate","118","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alberto","Lizarazo","068","Senador de la República","Conservador Colombiano","M",1960,0,"","","disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
"Aydee","Lizarazo Cubillos","101","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Edwin Alberto","Lizarazo Polo","103","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Óscar Mauricio ","Lizcano Arango","009","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","M",1976,8,"","","","","disagree","","","agree","","agree",""
"Eduardo Enrique","Llanes Silvera","044","Senador de la República","Polo Democrático Alternativo","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Eduardo","Llano Camacho","110","Representante a la Cámara","Alianza Verde","M",1979,0,"agree","agree","agree","agree","agree","agree",NA,NA,NA,NA,NA
"Martha Inés","Lloreda de Botero","041","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"John Gilberto","Loaiza Gómez","068","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Leliz","Loango Alegria","302","Representante a la Cámara","Centro Democrático","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Enalba Isabel","Lobo de Hoyos","26","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Roberto","Londoño Cortés","111","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Rosmery","Londoño Gil","101","Representante a la Cámara","Union Patriotica - Up","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Israel Alberto","Londoño Londoño","101","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Germán Eduardo","Londoño López","104","Representante a la Cámara","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Eduardo","Londoño Ulloa","2","Senador de la República","Alianza Verde","M",1960,4,"","","","","","","agree","disagree","","",""
"Sergio Alfonso","Londoño Zurek","105","Representante a la Cámara","Partido Social de Unidad Nacional - Partido de la U","M",1985,0,"agree","agree","agree","agree","agree","agree",NA,NA,NA,NA,NA
"Luz Marina","Lopera Peña","102","Representante a la Cámara","MIRA","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"John Alexander","López Benavides","103","Representante a la Cámara","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Juan Carlos ","Lopez Builes","26","Senador de la República","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Julio Carmelo ","Lopez Camacho","105","Representante a la Cámara","Opción Ciudadana","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Carlos Nery","López Carbono","101","Representante a la Cámara","Conservador Colombiano","M",NA,2,"","","","","","",NA,"",NA,NA,"agree"
"Gema","López de Joaqui","090","Senador de la República","Partido Social de Unidad Nacional - Partido de la U","F",1955,4,"","","disagree","disagree","disagree","disagree",NA,NA,NA,NA,NA
