"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR","VOTOS","BLANCOS.POR.CIENTO","ABTENCION"
"EL CARMEN DE BOLIVAR","Bolívar",450,8800,354,7096,170,382,183,249,50793,17684,"13244","OIZ",17684,2.16014476362814,65.1841789222924
"EL GUAMO","Bolívar",46,691,39,1481,13,34,5,23,7055,2332,"13248","JMS",2332,1.45797598627787,66.9454287739192
"EL PEÑON","Bolívar",135,732,64,836,11,17,3,9,5485,1807,"13268","JMS",1807,0.940785832872164,67.0556061987238
"HATILLO DE LOBA","Bolívar",262,1672,78,1271,15,23,13,21,9615,3355,"13300","OIZ",3355,0.685543964232489,65.1066042641706
"MAGANGUE","Bolívar",2297,7815,1613,15051,705,620,74,397,89302,28572,"13430","JMS",28572,2.16995660086798,68.0051958522765
"MAHATES","Bolívar",374,1996,211,2258,117,64,19,55,18621,5094,"13433","JMS",5094,1.25638005496663,72.6437892701788
"MARGARITA","Bolívar",220,1031,110,1098,12,30,7,21,8460,2529,"13440","JMS",2529,1.18623962040332,70.1063829787234
"MARIA LA BAJA","Bolívar",511,1962,122,6989,112,182,36,147,35962,10061,"13442","JMS",10061,1.80896531159924,72.0232467604694
"MOMPOS","Bolívar",1171,2567,445,4233,136,169,16,126,33608,8863,"13468","JMS",8863,1.90680356538418,73.6283027850512
"MONTECRISTO","Bolívar",38,800,210,1055,27,23,5,22,8384,2180,"13458","JMS",2180,1.05504587155963,73.9980916030534
"MORALES","Bolívar",169,1676,201,1611,47,52,21,27,10311,3804,"13473","OIZ",3804,1.36698212407992,63.1073610707012
"NOROSI","Bolívar",52,287,127,602,19,16,4,14,3615,1121,"13490","JMS",1121,1.42729705619982,68.9903181189488
"PINILLOS","Bolívar",310,1765,285,2906,57,50,20,83,15566,5476,"13549","JMS",5476,0.913075237399562,64.8207632018502
"REGIDOR","Bolívar",54,371,31,1113,16,9,6,11,4284,1611,"13580","JMS",1611,0.558659217877095,62.3949579831933
"RIOVIEJO","Bolívar",118,736,69,1061,27,28,3,21,5683,2063,"13600","JMS",2063,1.35724672806592,63.6987506598627
