"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"IRLANDA","Consulados",10,10,4,10,15,3,0,0,98,52,"372","EP"
"ISRAEL","Consulados",11,30,1,22,21,7,0,2,744,94,"376","OIZ"
"ITALIA","Consulados",114,153,62,113,184,53,1,3,4720,683,"380","EP"
"JAMAICA","Consulados",5,11,1,18,6,5,0,0,287,46,"388","JMS"
"JAPON","Consulados",12,32,8,22,19,5,0,0,776,98,"392","OIZ"
"KENIA","Consulados",2,5,3,8,2,2,0,0,62,22,"404","JMS"
"LIBANO","Consulados",5,40,0,54,6,2,0,0,653,107,"422","JMS"
"MALASIA","Consulados",4,10,2,3,20,3,0,0,105,42,"458","EP"
"MARRUECOS","Consulados",2,6,0,2,4,0,0,0,16,14,"504","OIZ"
"MEXICO","Consulados",230,347,41,173,302,69,0,3,4129,1165,"484","OIZ"
"NICARAGUA","Consulados",8,24,4,27,17,3,0,0,214,83,"558","JMS"
"NORUEGA","Consulados",12,3,3,5,10,0,0,0,105,33,"578","CL"
"NUEVA ZELANDIA","Consulados",14,15,7,10,51,21,0,0,185,118,"554","EP"
"PANAMA","Consulados",129,865,147,302,361,62,1,2,10473,1869,"591","OIZ"
"PARAGUAY","Consulados",10,25,5,15,10,7,0,0,258,72,"600","OIZ"
"PERU","Consulados",116,326,78,182,249,57,0,2,2721,1010,"604","OIZ"
"POLONIA","Consulados",10,10,0,9,10,3,0,0,108,42,"616","EMPATE"
"PORTUGAL","Consulados",15,16,0,27,19,15,0,1,332,93,"620","JMS"
"PUERTO RICO","Consulados",25,151,15,59,53,21,1,0,1196,325,"630","OIZ"
"REPUBLICA DOMINICANA","Consulados",35,162,23,70,110,34,0,1,1710,435,"214","OIZ"
"RUSIA","Consulados",35,6,1,14,4,4,0,0,246,64,"643","CL"
"SUDAFRICA","Consulados",7,31,2,11,23,3,0,0,186,77,"710","OIZ"
"SUECIA","Consulados",66,44,5,43,59,17,0,4,1075,238,"752","CL"
"SUIZA","Consulados",145,128,22,125,153,27,0,2,2486,602,"756","EP"
"TAILANDIA","Consulados",2,3,1,12,8,6,0,0,52,32,"764","JMS"
"TRINIDAD Y TOBAGO","Consulados",4,18,10,14,19,3,0,0,103,68,"780","EP"
"TURQUIA","Consulados",10,15,4,9,6,2,0,0,72,46,"792","OIZ"
"URUGUAY","Consulados",29,34,5,30,30,16,0,3,388,147,"858","OIZ"
"VENEZUELA","Consulados",1904,10538,1127,13111,1042,272,53,215,171944,28262,"862","JMS"
